,Month,UniqueCarrier,Distance,Cancelled,CancellationCode,Total Flights,Percentage Cancelled
0,Apr-08,Pinnacle Airlines,479.567774936,391.0,Carrier Delay,21969,0.0177978059994
1,Apr-08,Pinnacle Airlines,465.152542373,59.0,Weather Delay,21969,0.0026856024398
2,Apr-08,Pinnacle Airlines,443.96875,64.0,National Airspace System Delay,21969,0.0029131958669
3,Apr-08,American Airlines,900.115530303,3696.0,Carrier Delay,51470,0.0718088206722
4,Apr-08,American Airlines,781.06870229,131.0,Weather Delay,51470,0.00254517194482
5,Apr-08,American Airlines,948.626373626,91.0,National Airspace System Delay,51470,0.00176802020595
6,Apr-08,Alaska Airlines,748.318518519,135.0,Carrier Delay,12517,0.0107853319485
7,Apr-08,Alaska Airlines,419.260869565,23.0,Weather Delay,12517,0.00183750099864
8,Apr-08,JetBlue Airways,728.372093023,43.0,Carrier Delay,17141,0.00250860509889
9,Apr-08,JetBlue Airways,668.981818182,55.0,Weather Delay,17141,0.00320868094044
10,Apr-08,JetBlue Airways,1132.72413793,29.0,National Airspace System Delay,17141,0.00169184995041
11,Apr-08,Continental Express,985.88,50.0,Carrier Delay,25983,0.00192433514221
12,Apr-08,Continental Express,719.909090909,33.0,Weather Delay,25983,0.00127006119386
13,Apr-08,Continental Express,1209.75,4.0,National Airspace System Delay,25983,0.000153946811377
14,Apr-08,Delta Air Lines,628.853982301,226.0,Carrier Delay,37049,0.00610002969041
15,Apr-08,Delta Air Lines,460.935483871,31.0,Weather Delay,37049,0.000836729736295
16,Apr-08,Delta Air Lines,298.435483871,62.0,National Airspace System Delay,37049,0.00167345947259
17,Apr-08,Atlantic Southeast Airlines,449.517241379,29.0,Carrier Delay,23159,0.00125221296256
18,Apr-08,Atlantic Southeast Airlines,283.588235294,17.0,Weather Delay,23159,0.000734055874606
19,Apr-08,Atlantic Southeast Airlines,374.27027027,74.0,National Airspace System Delay,23159,0.0031953020424
20,Apr-08,Frontier Airlines,882.857142857,7.0,Carrier Delay,7909,0.000885067644456
21,Apr-08,AirTran Airways,609.234567901,81.0,Carrier Delay,22646,0.0035767906032
22,Apr-08,AirTran Airways,538.375,8.0,Weather Delay,22646,0.000353263269452
23,Apr-08,AirTran Airways,698.025,40.0,National Airspace System Delay,22646,0.00176631634726
24,Apr-08,Hawaiian Airlines,189.137931034,29.0,Carrier Delay,4611,0.0062893081761
25,Apr-08,American Eagle Airlines,451.360424028,283.0,Carrier Delay,42026,0.00673392661686
26,Apr-08,American Eagle Airlines,361.471428571,350.0,Weather Delay,42026,0.0083281777947
27,Apr-08,American Eagle Airlines,357.812834225,374.0,National Airspace System Delay,42026,0.00889925284348
28,Apr-08,Northwest Airlines,499.098360656,122.0,Carrier Delay,30956,0.00394107765861
29,Apr-08,Northwest Airlines,468.416666667,36.0,Weather Delay,30956,0.00116294094844
30,Apr-08,Northwest Airlines,593.431372549,51.0,National Airspace System Delay,30956,0.00164749967696
31,Apr-08,Comair,558.631578947,76.0,Carrier Delay,17510,0.00434037692747
32,Apr-08,Comair,457.732954545,176.0,Weather Delay,17510,0.0100513992005
33,Apr-08,Comair,571.5625,16.0,National Airspace System Delay,17510,0.000913763563678
34,Apr-08,SkyWest,346.697986577,298.0,Carrier Delay,48734,0.00611482743054
35,Apr-08,SkyWest,315.384279476,229.0,Weather Delay,48734,0.00469897812615
36,Apr-08,SkyWest,338.005555556,180.0,National Airspace System Delay,48734,0.00369351992449
37,Apr-08,United Airlines,929.631578947,494.0,Carrier Delay,38797,0.0127329432688
38,Apr-08,United Airlines,710.797101449,138.0,Weather Delay,38797,0.00355697605485
39,Apr-08,United Airlines,668.48,50.0,National Airspace System Delay,38797,0.00128875944016
40,Apr-08,US Airways,589.817910448,335.0,Carrier Delay,38095,0.00879380496128
41,Apr-08,US Airways,274.0,26.0,Weather Delay,38095,0.000682504265652
42,Apr-08,US Airways,418.87037037,54.0,National Airspace System Delay,38095,0.00141750885943
43,Apr-08,Southwest Airlines,433.159474672,533.0,Carrier Delay,100772,0.00528916762593
44,Apr-08,Southwest Airlines,489.380952381,21.0,National Airspace System Delay,100772,0.000208391219783
45,Apr-08,ExpressJet,545.966666667,30.0,Carrier Delay,34978,0.000857681971525
46,Apr-08,ExpressJet,416.213114754,61.0,Weather Delay,34978,0.0017439533421
47,Apr-08,ExpressJet,512.361502347,213.0,National Airspace System Delay,34978,0.00608954199783
48,Apr-08,Mesa Airlines,335.788546256,454.0,Carrier Delay,21804,0.0208218675472
49,Apr-08,Mesa Airlines,290.216981132,106.0,Weather Delay,21804,0.00486149330398
50,Apr-08,Mesa Airlines,321.796680498,241.0,National Airspace System Delay,21804,0.0110530177949
51,Aug-08,Pinnacle Airlines,505.991150442,113.0,Carrier Delay,21456,0.00526659209545
52,Aug-08,Pinnacle Airlines,509.772727273,44.0,Weather Delay,21456,0.00205070842655
53,Aug-08,Pinnacle Airlines,502.684210526,19.0,National Airspace System Delay,21456,0.000885533184191
54,Aug-08,American Airlines,889.59688826,707.0,Carrier Delay,53186,0.0132929718347
55,Aug-08,American Airlines,893.877245509,334.0,Weather Delay,53186,0.00627984808032
56,Aug-08,American Airlines,942.958083832,167.0,National Airspace System Delay,53186,0.00313992404016
57,Aug-08,Alaska Airlines,1037.92857143,112.0,Carrier Delay,13765,0.00813657827824
58,Aug-08,Alaska Airlines,757.0,42.0,Weather Delay,13765,0.00305121685434
59,Aug-08,JetBlue Airways,1134.11320755,53.0,Carrier Delay,17482,0.00303168973802
60,Aug-08,JetBlue Airways,998.304780876,502.0,Weather Delay,17482,0.0287152499714
61,Aug-08,JetBlue Airways,187.0,2.0,National Airspace System Delay,17482,0.00011440338634
62,Aug-08,Continental Express,1070.85964912,57.0,Carrier Delay,27088,0.00210425280567
63,Aug-08,Continental Express,623.684615385,130.0,Weather Delay,27088,0.00479917306556
64,Aug-08,Continental Express,320.0,6.0,National Airspace System Delay,27088,0.000221500295334
65,Aug-08,Delta Air Lines,654.694656489,262.0,Carrier Delay,38173,0.00686348990124
66,Aug-08,Delta Air Lines,502.75,120.0,Weather Delay,38173,0.00314358316087
67,Aug-08,Delta Air Lines,491.158139535,215.0,National Airspace System Delay,38173,0.00563225316323
68,Aug-08,Atlantic Southeast Airlines,398.261780105,191.0,Carrier Delay,25286,0.00755358696512
69,Aug-08,Atlantic Southeast Airlines,347.25,132.0,Weather Delay,25286,0.00522027999684
70,Aug-08,Atlantic Southeast Airlines,409.916666667,204.0,National Airspace System Delay,25286,0.00806770544966
71,Aug-08,Frontier Airlines,1287.4,5.0,Carrier Delay,9011,0.000554877372101
72,Aug-08,Frontier Airlines,876.315789474,19.0,Weather Delay,9011,0.00210853401398
73,Aug-08,AirTran Airways,595.880597015,67.0,Carrier Delay,23534,0.00284694484576
74,Aug-08,AirTran Airways,542.892307692,65.0,Weather Delay,23534,0.00276196141752
75,Aug-08,AirTran Airways,561.214285714,42.0,National Airspace System Delay,23534,0.00178465199286
76,Aug-08,Hawaiian Airlines,149.446808511,47.0,Carrier Delay,5597,0.00839735572628
77,Aug-08,American Eagle Airlines,441.200757576,264.0,Carrier Delay,43704,0.00604063701263
78,Aug-08,American Eagle Airlines,372.240469208,341.0,Weather Delay,43704,0.00780248947465
79,Aug-08,American Eagle Airlines,367.891459075,562.0,National Airspace System Delay,43704,0.0128592348526
80,Aug-08,Northwest Airlines,560.262295082,61.0,Carrier Delay,29572,0.00206276207223
81,Aug-08,Northwest Airlines,710.227272727,22.0,Weather Delay,29572,0.00074394697687
82,Aug-08,Northwest Airlines,685.803571429,56.0,National Airspace System Delay,29572,0.00189368321385
83,Aug-08,Comair,389.014705882,136.0,Carrier Delay,17567,0.00774178858086
84,Aug-08,Comair,450.606707317,656.0,Weather Delay,17567,0.0373427449195
85,Aug-08,Comair,342.375,8.0,National Airspace System Delay,17567,0.000455399328286
86,Aug-08,SkyWest,341.75974026,154.0,Carrier Delay,49784,0.00309336332958
87,Aug-08,SkyWest,383.442028986,138.0,Weather Delay,49784,0.0027719749317
88,Aug-08,SkyWest,398.95505618,89.0,National Airspace System Delay,49784,0.0017877229632
89,Aug-08,United Airlines,865.066213922,589.0,Carrier Delay,40325,0.0146063236206
90,Aug-08,United Airlines,906.862433862,189.0,Weather Delay,40325,0.00468691878487
91,Aug-08,United Airlines,806.212121212,66.0,National Airspace System Delay,40325,0.00163670179789
92,Aug-08,US Airways,795.721362229,323.0,Carrier Delay,38293,0.0084349620035
93,Aug-08,US Airways,822.3125,144.0,Weather Delay,38293,0.00376047841642
94,Aug-08,US Airways,410.185365854,205.0,National Airspace System Delay,38293,0.00535345885671
95,Aug-08,Southwest Airlines,424.29022082,317.0,Carrier Delay,101797,0.00311404068882
96,Aug-08,Southwest Airlines,748.956521739,253.0,Weather Delay,101797,0.00248533846773
97,Aug-08,Southwest Airlines,367.666666667,15.0,National Airspace System Delay,101797,0.000147352083067
98,Aug-08,ExpressJet,593.542857143,105.0,Carrier Delay,35136,0.00298838797814
99,Aug-08,ExpressJet,559.755244755,429.0,Weather Delay,35136,0.0122096994536
100,Aug-08,ExpressJet,574.110210697,617.0,National Airspace System Delay,35136,0.0175603369763
101,Aug-08,Mesa Airlines,376.519031142,289.0,Carrier Delay,21523,0.0134274961669
102,Aug-08,Mesa Airlines,430.681818182,22.0,Weather Delay,21523,0.00102216233796
103,Aug-08,Mesa Airlines,378.7421875,128.0,National Airspace System Delay,21523,0.00594712632997
104,Dec-08,Pinnacle Airlines,441.991084695,673.0,Carrier Delay,22466,0.0299563785276
105,Dec-08,Pinnacle Airlines,404.838966203,503.0,Weather Delay,22466,0.0223893884092
106,Dec-08,Pinnacle Airlines,446.477272727,132.0,National Airspace System Delay,22466,0.00587554526841
107,Dec-08,American Airlines,1020.01511335,397.0,Carrier Delay,47329,0.00838809186757
108,Dec-08,American Airlines,1028.76614699,449.0,Weather Delay,47329,0.00948678400135
109,Dec-08,American Airlines,835.122641509,212.0,National Airspace System Delay,47329,0.00447928331467
110,Dec-08,Alaska Airlines,776.775510204,98.0,Carrier Delay,11330,0.00864960282436
111,Dec-08,Alaska Airlines,918.10056926,527.0,Weather Delay,11330,0.0465136804943
112,Dec-08,Alaska Airlines,679.0,2.0,National Airspace System Delay,11330,0.00017652250662
113,Dec-08,JetBlue Airways,985.631578947,57.0,Carrier Delay,16707,0.00341174358054
114,Dec-08,JetBlue Airways,950.244075829,422.0,Weather Delay,16707,0.0252588735261
115,Dec-08,JetBlue Airways,1004.83333333,6.0,National Airspace System Delay,16707,0.000359130903214
116,Dec-08,Continental Express,1127.75294118,85.0,Carrier Delay,22691,0.00374597858182
117,Dec-08,Continental Express,1182.96511628,344.0,Weather Delay,22691,0.0151601956723
118,Dec-08,Continental Express,1188.57142857,7.0,National Airspace System Delay,22691,0.000308492353797
119,Dec-08,Delta Air Lines,685.718146718,259.0,Carrier Delay,36933,0.00701269867057
120,Dec-08,Delta Air Lines,995.107883817,241.0,Weather Delay,36933,0.00652532965099
121,Dec-08,Delta Air Lines,470.177777778,180.0,National Airspace System Delay,36933,0.00487369019576
122,Dec-08,Atlantic Southeast Airlines,396.945544554,202.0,Carrier Delay,23474,0.00860526540002
123,Dec-08,Atlantic Southeast Airlines,516.807121662,337.0,Weather Delay,23474,0.0143563091079
124,Dec-08,Atlantic Southeast Airlines,396.767068273,249.0,National Airspace System Delay,23474,0.0106074806169
125,Dec-08,Frontier Airlines,716.666666667,15.0,Carrier Delay,7366,0.00203638338311
126,Dec-08,Frontier Airlines,840.166666667,54.0,Weather Delay,7366,0.0073309801792
127,Dec-08,Frontier Airlines,846.0,2.0,National Airspace System Delay,7366,0.000271517784415
128,Dec-08,AirTran Airways,608.30952381,42.0,Carrier Delay,20628,0.00203606748109
129,Dec-08,AirTran Airways,772.741626794,209.0,Weather Delay,20628,0.0101318596083
130,Dec-08,AirTran Airways,596.87804878,41.0,National Airspace System Delay,20628,0.00198758968392
131,Dec-08,Hawaiian Airlines,295.338709677,124.0,Carrier Delay,6113,0.0202846392933
132,Dec-08,Hawaiian Airlines,2664.66666667,6.0,Weather Delay,6113,0.000981514804515
133,Dec-08,American Eagle Airlines,388.882736156,307.0,Carrier Delay,35024,0.00876541799909
134,Dec-08,American Eagle Airlines,376.936350778,1414.0,Weather Delay,35024,0.0403723161261
135,Dec-08,American Eagle Airlines,352.469578783,641.0,National Airspace System Delay,35024,0.0183017359525
136,Dec-08,Northwest Airlines,713.310810811,74.0,Carrier Delay,24635,0.00300385630201
137,Dec-08,Northwest Airlines,581.646341463,246.0,Weather Delay,24635,0.00998579257154
138,Dec-08,Northwest Airlines,1036.20481928,83.0,National Airspace System Delay,24635,0.00336919017658
139,Dec-08,Comair,499.751243781,201.0,Carrier Delay,13711,0.0146597622347
140,Dec-08,Comair,479.595673877,601.0,Weather Delay,13711,0.0438334184232
141,Dec-08,Comair,428.737704918,61.0,National Airspace System Delay,13711,0.00444898256874
142,Dec-08,SkyWest,403.361979167,384.0,Carrier Delay,44240,0.00867992766727
143,Dec-08,SkyWest,314.509569378,1254.0,Weather Delay,44240,0.0283453887884
144,Dec-08,SkyWest,346.357308585,431.0,National Airspace System Delay,44240,0.00974231464738
145,Dec-08,United Airlines,866.446564885,262.0,Carrier Delay,32643,0.00802622307999
146,Dec-08,United Airlines,765.368992248,645.0,Weather Delay,32643,0.0197592133076
147,Dec-08,United Airlines,811.279569892,93.0,National Airspace System Delay,32643,0.002849002849
148,Dec-08,US Airways,691.062663185,383.0,Carrier Delay,36634,0.010454768794
149,Dec-08,US Airways,686.77016129,248.0,Weather Delay,36634,0.00676966752197
150,Dec-08,US Airways,497.427480916,131.0,National Airspace System Delay,36634,0.0035759130862
151,Dec-08,Southwest Airlines,473.591658584,1031.0,Carrier Delay,97831,0.0105385818401
152,Dec-08,Southwest Airlines,673.540630182,1206.0,Weather Delay,97831,0.0123273808915
153,Dec-08,Southwest Airlines,537.303571429,56.0,National Airspace System Delay,97831,0.000572415696456
154,Dec-08,ExpressJet,475.466666667,15.0,Carrier Delay,24590,0.000610004066694
155,Dec-08,ExpressJet,521.669518717,935.0,Weather Delay,24590,0.0380235868239
156,Dec-08,ExpressJet,557.128279883,343.0,National Airspace System Delay,24590,0.0139487596584
157,Dec-08,Mesa Airlines,328.074688797,241.0,Carrier Delay,20613,0.0116916508999
