UniqueCarrier	DepDelay	ArrDelay	LateAircraftDelay	SecurityDelay	NASDelay	WeatherDelay	CarrierDelay
9E	6.76585965998	4.11113470325	19.8085492511	0.0339564884662	14.4929922379	3.26380233956	19.8646332131
AA	13.2808982644	12.6071940357	20.4543380116	0.0406443223084	18.3244123565	2.56819241339	17.3097642065
AQ	-1.39778293375	-2.88867389061	13.6243654822	0.269035532995	2.51015228426	1.49492385787	22.1497461929
AS	6.84872201042	4.80434636209	19.5873799271	0.234713481285	12.5703875455	1.57108314011	15.9600198741
B6	12.6533957481	11.0841843905	26.2729821425	0.042683298458	26.6042703614	1.12187392073	13.7663490645
CO	13.185229786	10.9790372803	17.1699316878	0.155954385533	26.2503182882	2.74182375731	13.6372609416
DL	8.0077655727	7.85516315488	16.1893767705	0.0138101983003	19.6802306758	1.6908539053	14.2778227438
EV	11.9225379709	10.2080024157	9.81347095766	0.0534721596202	16.9465729138	8.49295351423	25.3758977133
F9	5.91960151683	6.10824666611	9.48870771724	0.0197994733644	18.0440550942	1.08213489974	12.7086793599
FL	9.26271304026	9.09137538508	30.5831189683	0.0	17.7797766	0.637104431746	7.66030764981
HA	0.455201345021	1.26440893942	14.7183753802	0.0363213455001	0.166577205225	0.869744140276	33.0747897656
MQ	10.6956417766	9.89066794578	22.9086934337	0.010310366669	17.1414772327	3.66993630797	15.0016802731
NW	6.46323565667	7.36853912993	11.1085627703	0.0584837732135	16.8493485975	4.0027843249	19.1438136186
OH	11.5361531179	11.817467684	3.11782845395	0.0244032436137	20.7742795142	12.807838733	20.4775193208
OO	7.45644275926	6.59888473687	22.3841322628	0.116746638795	17.3868307283	2.91039004228	15.945802651
UA	14.1125766124	11.2913221867	27.8563563995	0.0143100833965	17.6369925563	1.84482045627	14.8196808877
US	5.71748967189	2.84811000569	16.5992668781	0.131431396428	18.9058517116	1.22825654444	13.3762796474
WN	10.3830347504	5.17967817301	30.0838289565	0.11749796366	7.82019230332	2.32377125643	10.2886460955
XE	11.3958664765	10.6354048	22.3317137558	0.149892470671	23.6098449074	2.81608502213	13.8594381166
YV	12.0006752799	11.7751814336	13.9646830093	0.154218089603	14.7797464074	3.16417582418	32.5907016061
