Origin	DepDelay	ArrDelay	LateAircraftDelay	SecurityDelay	NASDelay	WeatherDelay	CarrierDelay
ACK	29.8544152745	28.6038186158	24.4320987654	0.0	32.9938271605	7.56790123457	19.2283950617
PUB	27.0	74.0	0.0	0.0	47.0	27.0	0.0
CEC	24.1862068966	24.6709486166	23.9383033419	0.0	41.2262210797	2.01799485861	11.1233933162
PIR	22.8	23.8	0.0	0.0	19.0	0.0	99.0
SPI	22.314516129	21.9506726457	24.3313609467	0.236686390533	49.0	0.742603550296	19.899408284
AKN	21.9385964912	22.0446428571	28.1320754717	1.66037735849	3.05660377358	0.0	12.8490566038
OTH	21.7655310621	26.3810483871	30.1062801932	0.0338164251208	29.8115942029	0.792270531401	3.6038647343
LMT	20.0465587045	20.3237704918	24.1818181818	0.0	37.7077922078	1.7987012987	15.8181818182
ACY	18.5486725664	5.41071428571	0.0	0.0	66.4285714286	0.0	75.9285714286
EWR	18.2850810754	17.0833913115	25.1953207381	0.0858963093146	19.211840949	2.64316783831	16.1505711775
ORD	17.2912711662	15.8874895749	27.7023523212	0.0230249604753	15.1790351171	4.00990753605	17.0282374359
CIC	17.1577402788	16.75	43.0443786982	0.221893491124	27.9970414201	0.778106508876	8.85207100592
EGE	16.5197324415	16.2909766813	30.926988266	0.013037809648	25.4211212516	11.7900912647	22.4263363755
DLG	16.4954954955	16.1711711712	21.5454545455	8.03636363636	2.61818181818	0.0	4.50909090909
BRW	16.3319268636	12.490832158	36.0884955752	4.94690265487	2.25221238938	2.88495575221	5.09734513274
RDD	16.1407678245	14.9627821843	20.1232227488	0.511848341232	50.7156398104	0.526066350711	5.08767772512
MIA	15.881970185	15.0649879862	16.9468090759	0.0487273500186	16.0374090015	4.06068335193	21.8677931877
TEX	15.8562091503	20.3790849673	0.0	0.0	17.9107142857	1.83928571429	40.5535714286
SBN	15.3992387821	12.4512244079	17.4596375618	0.0593080724876	27.7759472817	5.26523887974	26.4752883031
ACV	15.2021187622	14.8621462595	20.9759562842	0.00983606557377	39.2448087432	2.55956284153	11.3180327869
EYW	15.1732124874	16.8706720978	10.3569230769	0.0307692307692	12.4738461538	13.5323076923	22.2646153846
HHH	14.9306431274	12.2338811631	13.0451977401	0.175141242938	19.0395480226	16.0621468927	34.1694915254
STX	14.7916666667	16.0211764706	31.4507042254	0.0845070422535	9.53521126761	1.22535211268	8.47887323944
JNU	13.8037166086	11.3744142455	34.8225508318	0.0970425138632	6.62846580407	2.68299445471	18.6386321627
ADK	13.652173913	4.53260869565	35.652173913	0.0	2.21739130435	0.0	7.26086956522
IAD	13.6362579424	12.7861587474	16.1250184647	0.177901423014	18.5271554483	3.21601260525	26.4933773204
PSG	13.5458452722	9.18221574344	49.4670658683	0.251497005988	4.74850299401	2.07784431138	8.41916167665
GUC	13.531147541	14.2242888403	29.8088888889	0.204444444444	12.68	14.1333333333	24.4177777778
SFO	13.3791221947	10.620574006	28.8932473839	0.0377522113661	9.92065097994	1.35777880557	19.6194137712
MOD	13.3715944618	12.0268576544	26.84	0.180952380952	29.739047619	0.809523809524	8.52380952381
JFK	13.3033738962	12.0338829986	16.2929553508	0.0823245924876	26.4197873848	4.56155917789	16.7988377038
PHL	12.8991597491	8.37652913758	28.0898274836	0.107753321436	19.089034305	2.55304382312	13.0918104303
ASE	12.8656437902	12.2591900312	23.679779701	0.630999213218	13.9976396538	12.8064516129	13.3099921322
